phase,interface,channels,num_channels,ceiling_hz,sps,kbps,eos_overruns,dio_drops,enc_drops,enc_fails,timer_isr,total_samples,queue_drops,invariant_delta,leaked,duration_s
endurance,USB PB,1×T2,1,20000,19424,264,0,0,0,0,1165600,1165600,0,0,False,60
endurance,USB PB,3×T1,3,17000,16493,385,0,0,0,0,989741,989741,0,0,False,60
endurance,USB PB,3×T2,3,17000,16491,387,0,0,0,0,989588,989588,0,0,False,60
endurance,USB PB,5×T1,5,15000,14552,483,0,0,0,0,873240,873240,0,0,False,60
endurance,USB PB,5×T2,5,15000,14560,482,0,0,0,0,873719,873719,0,0,False,60
endurance,USB PB,5×T1 OBD=OFF,5,17000,16496,548,0,0,0,0,989835,989835,0,0,False,60
endurance,USB PB,5×T1 OBD=ON,5,15000,14554,482,0,0,0,0,873375,873375,0,0,False,60
endurance,USB PB,1×T1 OBD=OFF,1,22000,21345,292,0,0,0,0,1280934,1280934,0,0,False,60
endurance,USB PB,1×T1 OBD=ON,1,20000,19416,265,0,0,0,0,1165279,1165279,0,0,False,60
endurance,USB PB,8×T2,8,13000,12632,604,0,0,0,0,758068,758068,0,0,False,60
endurance,USB PB,11×T2,11,11000,10678,666,0,0,0,0,640746,640746,0,0,False,60
endurance,USB PB,5T1+3T2,8,13000,12617,603,0,0,0,0,757155,757155,0,0,False,60
endurance,USB PB,5T1+5T2,10,12000,11642,670,0,0,0,0,698652,698652,0,0,False,60
endurance,USB PB,5T1+11T2,16,9000,8742,759,0,0,0,0,524579,524579,0,0,False,60
endurance,USB CSV,1×T1,1,19000,18419,307,0,0,0,0,1105325,1105325,0,0,False,60
endurance,USB CSV,1×T2,1,19000,18416,302,0,0,0,0,1105060,1105060,0,0,False,60
endurance,USB CSV,3×T1,3,15000,14547,729,0,0,0,0,872899,872899,0,0,False,60
endurance,USB CSV,3×T2,3,15000,14548,730,0,0,0,0,872978,872978,0,0,False,60
endurance,USB CSV,5×T1,5,13000,12422,1029,0,0,0,0,745442,745442,0,0,False,60
endurance,USB CSV,5×T2,5,13000,12450,1054,0,0,0,0,747042,747042,0,0,False,60
endurance,USB CSV,5×T1 OBD=OFF,5,15000,13992,1078,0,0,0,0,850231,841813,8418,0,True,60
